58015,2019-10-13 22:27:00,34.8,1007.3,99,350,3.1,1.5,1170.2
58102,2019-10-13 22:27:00,2.7,1011.7,88,266,10.8,0.6,1398.2
58118,2019-10-13 22:27:00,14.1,1021.8,10,97,3.5,1.4,1148.7
58122,2019-10-13 22:27:00,5.0,1000.3,70,259,9.5,1.2,1179.5
58203,2019-10-13 22:27:00,21.6,1005.6,48,166,6.1,0.6,1107.5
58215,2019-10-13 22:27:00,26.4,1001.0,8,84,9.7,1.0,1390.0
58221,2019-10-13 22:27:00,34.1,1003.5,57,267,9.3,0.9,1407.3
58225,2019-10-13 22:27:00,29.1,1021.1,69,305,5.2,0.2,1160.9
58236,2019-10-13 22:27:00,10.5,1012.2,65,149,11.3,1.2,1286.8
58311,2019-10-13 22:27:00,26.8,1015.5,65,19,8.7,1.5,1347.9
58314,2019-10-13 22:27:00,23.6,1012.4,91,224,6.9,0.6,1453.2
58319,2019-10-13 22:27:00,8.5,1015.0,9,284,8.6,1.2,1459.2
58321,2019-10-13 22:27:00,1.0,1023.8,30,60,3.0,0.5,1337.1
58326,2019-10-13 22:27:00,2.4,1002.7,65,302,11.9,1.3,1360.1
58336,2019-10-13 22:27:00,2.7,1013.4,2,324,12.4,0.7,1394.7
58338,2019-10-13 22:27:00,11.3,1019.4,61,250,0.4,0.8,1386.7
58414,2019-10-13 22:27:00,21.4,1004.5,76,243,6.9,1.2,1052.2
58419,2019-10-13 22:27:00,13.3,1021.0,45,257,0.7,0.4,1414.5
58424,2019-10-13 22:27:00,10.0,1008.9,65,26,4.6,0.1,1392.3
58429,2019-10-13 22:27:00,29.9,1024.1,19,115,9.7,0.2,1078.1
58436,2019-10-13 22:27:00,17.4,1011.7,33,236,0.3,0.8,1482.4
58437,2019-10-13 22:27:00,4.0,1017.6,7,65,6.6,0.6,1117.8
58520,2019-10-13 22:27:00,5.4,1025.8,46,305,10.0,1.0,1265.6
58531,2019-10-13 22:27:00,14.7,1016.7,22,158,3.6,1.1,1014.5
54406,2019-10-13 22:27:00,4.3,1016.7,64,99,7.4,0.4,1377.3
54416,2019-10-13 22:27:00,22.4,1014.0,19,201,2.6,0.4,1382.0
54511,2019-10-13 22:27:00,0.4,1003.9,54,121,8.4,0.7,1032.1
58725,2019-10-13 22:27:00,17.3,1002.8,18,194,4.2,1.4,1098.9
58730,2019-10-13 22:27:00,20.7,1012.9,91,114,0.1,0.1,1298.5
58731,2019-10-13 22:27:00,26.9,1017.5,41,295,1.5,1.0,1227.7
58734,2019-10-13 22:27:00,16.2,1022.2,41,209,5.8,0.9,1120.6
58737,2019-10-13 22:27:00,7.0,1022.6,89,109,6.1,0.1,1246.4
58744,2019-10-13 22:27:00,15.8,1023.2,21,174,7.8,1.0,1154.2
58754,2019-10-13 22:27:00,24.6,1009.7,54,200,2.5,0.1,1377.7
58818,2019-10-13 22:27:00,25.9,1001.3,77,284,3.7,0.4,1424.6
58820,2019-10-13 22:27:00,17.9,1013.2,36,230,5.8,0.3,1481.3
58834,2019-10-13 22:27:00,34.8,1014.0,87,126,12.9,0.2,1168.6
58837,2019-10-13 22:27:00,32.2,1017.8,10,100,13.8,0.2,1459.7
58843,2019-10-13 22:27:00,19.3,1020.0,68,83,1.5,1.2,1182.1
58846,2019-10-13 22:27:00,16.7,1008.7,14,290,12.6,0.5,1291.1
58847,2019-10-13 22:27:00,6.5,1016.4,64,357,0.7,0.6,1142.2
